id,title,authors,venue,year
304586,The WASA2 object-oriented workflow management system,"Gottfried Vossen, Mathias Weske",International Conference on Management of Data,1999
304587,A user-centered interface for querying distributed multimedia databases,"Isabel F. Cruz, Kimberly M. James",International Conference on Management of Data,1999
304589,"World Wide Database-integrating the Web, CORBA and databases","Athman Bouguettaya, Boualem Benatallah, Lily Hendra, James Beard, Kevin Smith, Mourad Quzzani",International Conference on Management of Data,1999
304590,XML-based information mediation with MIX,"Chaitan Baru, Amarnath Gupta, Bertram Lud&#228;scher, Richard Marciano, Yannis Papakonstantinou, Pavel Velikhov, Vincent Chu",International Conference on Management of Data,1999
304582,The CCUBE constraint object-oriented database system,"Alexander Brodsky, Victor E. Segal, Jia Chen, Paval A. Exarkhopoulo",International Conference on Management of Data,1999
304583,The Cornell Jaguar project: adding mobility to PREDATOR,"Phillippe Bonnet, Kyle Buza, Zhiyuan Chan, Victor Cheng, Randolph Chung, Takako Hickey, Ryan Kennedy, Daniel Mahashin, Tobias Mayr, Ivan Oprencak, Praveen Seshadri, Hubert Siu",International Conference on Management of Data,1999
304584,The active MultiSync controller of the cubetree storage organization,"Nick Roussopoulos, Yannis Kotidis, Yannis Sismanis",International Conference on Management of Data,1999
304585,The Jungle database search engine,"Michael B&#246;hlen, Linas Bukauskas, Curtis Dyreson",International Conference on Management of Data,1999
306112,ADEPT: an agent-based approach to business process management,"N. R. Jennings, T. J. Norman, P. Faratin",ACM SIGMOD Record ,1998
306115,A componentized architecture for dynamic electronic markets,"Benny Reich, Israel Ben-Shaul",ACM SIGMOD Record ,1998
306119,Design and implementation of RMP: a virtual electronic market place,"Susanne Boll, Wolfgang Klas, Bernard Battaglin",ACM SIGMOD Record ,1998
306124,Discovering Internet marketing intelligence through online analytical web usage mining,"Alex G. B&#252;chner, Maurice D. Mulvenna",ACM SIGMOD Record ,1998
306102,Component-based e-commerce: assessment of current practices and future directions,"Martin Bichler, Arie Segev, J. Leon Zhao",ACM SIGMOD Record ,1998
306103,Building database-driven electronic catalogs,Sherif Danish,ACM SIGMOD Record ,1998
306105,XML and electronic commerce: enabling the network economy,"Bart Meltzer, Robert Glushko",ACM SIGMOD Record ,1998
306109,A workflow-based electronic marketplace on the Web,"Asuman Dogac, Ilker Durusoy, Sena Arpinar, Nesime Tatbul, Pinar Koksal, Ibrahim Cingil, Nazife Dimililer",ACM SIGMOD Record ,1998
304571,DBIS-toolkit: adaptable middleware for large scale data delivery,"Mehmet Altinel, Demet Aksoy, Thomas Baby, Michael Franklin, William Shapiro, Stan Zdonik",International Conference on Management of Data,1999
304570,An XJML-based wrapper generator for Web information extraction,"Ling Liu, Wei Han, David Buttler, Calton Pu, Wei Tang",International Conference on Management of Data,1999
304573,Database patchwork on the Internet,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",International Conference on Management of Data,1999
304572,DOMINO: databases fOr MovINg Objects tracking,"Ouri Wolfson, Prasad Sistla, Bo Xu, Jutai Zhou, Sam Chamberlain",International Conference on Management of Data,1999
304250,The need for distributed asynchronous transactions,"Lyman Do, Prabhu Ram, Pamela Drew",International Conference on Management of Data,1999
304248,Versions and workspaces in Microsoft repository,"Thomas Bergstraesser, Philip A. Bernstein, Shankar Pal, David Shutt",International Conference on Management of Data,1999
304569,Data integration and warehousing in Telecom Italia,"Stefano M. Trisolini, Maurizio Lenzerini, Daniele Nardi",International Conference on Management of Data,1999
304568,Improving OLTP data quality using data warehouse mechanisms,"Matthias Jarke, Christoph Quix, Guido Blees, Dirk Lehmann, Gunter Michalk, Stefan Stierl",International Conference on Management of Data,1999
304579,SERF: ODMG-based generic re-structuring facility,"E. A. Rundensteiner, K. Claypool, M. Li, L. Chen, Z. Zhang, C. Natarajan, J. Jin, S. De Lima, S. Weiner",International Conference on Management of Data,1999
304578,"PowerBookmarks: a system for personalizable Web information organization, sharing, and management","Wen-Syan Li, Quoc Vu, Edward Chang, Divyakant Agrawal, Kyoji Hirata, Sougata Mukherjea, Yi-Leh Wu, Corey Bufi, Chen-Chuan Kevin Chang, Yoshinori Hara, Reiko Ito, Yutaka Kimura, Kezuyuki Shimazu, Yukiyoshi Saito",International Conference on Management of Data,1999
304581,The Aqua approximate query answering system,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala, Sridhar Ramaswamy",International Conference on Management of Data,1999
304580,TAM: a system for dynamic transactional activity management,"Tong Zhou, Ling Liu, Calton Pu",International Conference on Management of Data,1999
304575,Exploratory mining via constrained frequent set queries,"Raymond Ng, Laks V. S. Lakshmanan, Jiawei Han, Teresa Mah",International Conference on Management of Data,1999
304574,Evolvable view environment (EVE): non-equivalent view maintenance under schema changes,"E. A. Rundensteiner, A. Koeller, X. Zhang, A. J. Lee, A. Nica, A. Van Wyk, Y. Lee",International Conference on Management of Data,1999
304577,Phoenix: making applications robust,"Roger Barga, David B. Lomet",International Conference on Management of Data,1999
304576,Nodose version 2.0,"Brad Adelberg, Matthew Denny",International Conference on Management of Data,1999
304235,Bringing object-relational technology to the mainstream,"Vishu Krishnamurthy, Sandeepan Banerjee, Anil Nori",International Conference on Management of Data,1999
304236,Implementing the spirit of SQL-99,Paul Brown,International Conference on Management of Data,1999
304233,Managing Web data,Dan Suciu,International Conference on Management of Data,1999
304234,"O-O, what's happening to DB2?","M. Carey, D. Chamberlin, D. Doole, S. Rielau, N. Mattos, S. Narayanan, B. Vance, R. Swagerman",International Conference on Management of Data,1999
304231,Hypertext databases and data mining,Soumen Chakrabarti,International Conference on Management of Data,1999
304232,Clustering methods for large databases: from the past to the future,"Alexander Hinneburg, Daniel A. Keim",International Conference on Management of Data,1999
304229,Petabyte databases,Dirk D&#252;llmann,International Conference on Management of Data,1999
304230,A database perspective on Lotus Domino/Notes,C. Mohan,International Conference on Management of Data,1999
304245,Microsoft site server (commerce ed.): Talk-slides available at the conference,Bassel Ojjeh,International Conference on Management of Data,1999
304246,E-commerce database issues and experience: (talk-slides available at at the conference),Anand Rajaraman,International Conference on Management of Data,1999
304243,Merge replication in Microsoft's SQL server 7.0,Brad Hammond,International Conference on Management of Data,1999
304244,In-memory data management for consumer transactions the timesten approach,CORPORATE TimesTen Team,International Conference on Management of Data,1999
304241,EMC information sharing: direct access to MVS data from UNIX and NT,Walt Kohler,International Conference on Management of Data,1999
304242,Daytona and the foruth-generation language cymbal,Rick Greer,International Conference on Management of Data,1999
304239,DataBlitz storage manager: main-memory database performance for critical applications,"J. Baulier, P. Bohannon, S. Gogate, C. Gupta, S. Haldar",International Conference on Management of Data,1999
304240,Indexing medium-dimensionality data in Oracle,"K. V. Ravi Kanth, Siva Ravada, Jayant Sharma, Jay Banerjee",International Conference on Management of Data,1999
